# LFJ aggregator swap txs for router e2e testing (200 txs)
# Format: txHash  # block
0x568adcdbf65ac51d92e359c7ba8587f7db8306a5bc991bf8177c98b420e44d9a  # block 80091681
0xf265f5c905344370a3ba805a1b672e055160b794a4333b74f6edc16d75c9967c  # block 80091882
0x21a71a5489154e7ab9d3d928629f0a708dae8c1231c371e390a1b49e40bc281b  # block 80091952
0x80f98378c227f9002a0efcf6655d9a658042b421846aebfc00256a6cfb31b34e  # block 80092616
0xbdb3718df9e57d38bad01b12fe10508fc3e5b021cccb24185246c3524697c559  # block 80092742
0xeab3741f4585664f2f919570be980ad55ceb95b0d1b088f78efc484bff766f17  # block 80093357
0x2e0837518089fd8532f1623577c3afc0dfd864c6be0cb7034e8abad0706328d5  # block 80093425
0xd13ed17461429804faab761fde95f8cff340fcba5a456e876d7879261e2c2eea  # block 80093602
0x8681b4869b248b24166656bb805d7177b628e530051873607a162f1ef3300810  # block 80093701
0xc970e14c299c7f5c5a12a6d63ade51aa5cf8e8a1a82f43656f79f4ff206f5e6d  # block 80093907
0xdf89ab12a30be4cab523915865b3dc1360d1130c22677b849814db004c1c6ac1  # block 80094127
0xbd188f554b53de448503a6c0d2320624e42d810c9a3aba65881ac7178456c718  # block 80094315
0x8c43d33772179475a4cda7c405afe891b56e5e7d747795208779ce0a7eb26ba2  # block 80094364
0xddaf2750f1f246f5d3cf2a09ac6f1abb675f164f19e741ce8f61ca3c79d2c353  # block 80094591
0x7da125c0b78a3c8d3393a455e319074da1b3850fbdf342e52c7073915e85398b  # block 80094706
0xe615fbc81d8b6fa688bd3f2d793357fb5fea17141f18961307fadd5446da5094  # block 80094784
0x315a705ca288b379ab98159a16ac7d2c73ad8a8fdc71da4f93cda5ee8d5a9999  # block 80095212
0x76c1077f3590e1d22672f6b4cb07c184f14b7f937002f483458da7c3f511fd80  # block 80095244
0x074ff196591cee70ccd23298ac42e4d17e7c46a3aa18d0f88d5c4174e5f27f38  # block 80095392
0x58839228e901c37bf78f54946ff1845ec42c6cde2b6defbba829c926f267d82b  # block 80095439
0xd64c327892c06d8da065b4a44bd162b49b03373c729c8dee22cbc93a7ffbee53  # block 80096447
0x9590fb6c20bbeafeca404ebc3d502956bf9653ddbba6ab3beafc6453f41a0879  # block 80096563
0x9b19828f3395aedae30efcbb001dca6e52d4a8b93bc0af3e547d567d4b3099ec  # block 80096657
0xe66b42f9dca72a98b59c1da2c62147bc35865c0f83e0711db402ff18f2126b89  # block 80096875
0xb209d0c6c6ee9c7533131e87f9afb65367e33179c0e420f98cb5c2d186ac275e  # block 80096968
0x316fb254e2f34a0754c689c4c8b794f200a2ceb0249337bfd2ba52dc2c680a69  # block 80097018
0xa6d1cee9c88c74df9e09f90d42789ce26a7ce3866c5524ef5e65074ccf79e99b  # block 80097098
0xebb5dfa538828345cc7349a21a080a05cef65494840c010a3da02fc6f8da6562  # block 80097213
0xe1fbb488a4b41e88dd27744de5ccf2010b18d2c869d619879ce41fd13c8dc377  # block 80097248
0x98fb897919db42046dd529530d5d48291ce1ae4accd66e316914ac13e76f6eb5  # block 80097292
0xa925bf42be7435b3e764265ef1fd02b86054b9be19aed52e7306e746c16d7010  # block 80097459
0xeb645b130cf28853230733aa1fd7a0cad5d3eff2f4bbfe257ae2e567f6c6b384  # block 80097499
0x26acc4e65e02e01079a4a466d1ad9253bf9c10b4b191e3dcf2db5441f85ede61  # block 80098399
0xa3a3fe6a80bee27c108535b310fed6b6b3dc9139334fa871fe1110dd338b77fb  # block 80098433
0x19a5388098d6879ebcc140b6d311a61cad7b946e17a2f015dd226a10c11a77a8  # block 80098455
0xc1d846d696551e27f504ab2a361f74c6d6605734b839c62df49b959b36b167bc  # block 80098476
0x1cba85001fb2153d71c66c41a613c462dc83baea61d285db97e7fc301ce5c2fa  # block 80098513
0x3b3da54a66f616b36deb6301b08906bc6cd4da0134d4a3c9322a20a15c0ea298  # block 80098624
0xa0e1a5c4313dbab2f0ab29a746d0d5c4fa3aea0a62681d2b37a4c2a23108ee96  # block 80098698
0x84b2861f7537af7f1a2f3a8e8f63bf81f87fcef4c6d033f5c7138e7351100d13  # block 80098971
0x9c37dd09ef74b996184a2e54504a3e747c56722a109c7d597910956d82596b78  # block 80099008
0x60d9cb7c1cc4abd1ff313cfece9510952414f02c75cc966e5b0c2ee69f935f2c  # block 80099590
0x276cad1900407937cda273038e7b772b0d6232406cdd161299bed36f84feb65a  # block 80099727
0x64332b4110807258aa9ce672e644907777d92ea653eedb371181e772a2cf2b49  # block 80099831
0x253d2fcfeb9811a39abda65c09da87d32ed2b82de73bbf21459f82ca099b32d3  # block 80099925
0xb09cbe2777bce37e6e9bb3f78c7e0ce302cdd246723f29f0b0f7ed2651bee8dc  # block 80100059
0x4161278e69123f0f4afecd6543072e913238a5581821462dcff49c6fc78b0b5a  # block 80100702
0xeafb5c97b005cf06bb2996df266cba5a02a3323c29aea4aa365d5200cf13ea71  # block 80100893
0xae3a49b1fdb1c29db1ab724ab842c5d132f32a35c73bbcf67102f66f8f9087e7  # block 80101237
0x7b3e4b624a830ffe8b8526ad266c4bd6caf609cc34f3f46ae7cd01831a6a4495  # block 80101243
0xcfedef809d51d9d41fc9e5bf5e20bad211609f2891ebf73af0f347e95315cd34  # block 80101251
0xbfb3ea1ae561ed6de865fec297e391e0b994212ba18349a8510d5426187e6b18  # block 80101356
0xe8bc276ccb64138b097edc561a28ade3950aa015b441adfd6e01b9214f4114dc  # block 80101409
0x138dfbc218a23a283245e52d4c17141a8f28cabe5fc35754627e96f006e093b1  # block 80101456
0x7f21dd0b081554b0bd0a2221a685f7598e47e0c5da12584667c4a01d958d91cf  # block 80101626
0xfcac72b6fa6741f67f66f228e27de313544f9760c7c5c4ee67c1c4250fffe909  # block 80102702
0x5fd2c1c1253e806c4356cfb7c3b5d77a5255b5ac0f5144c87a1ff20d18a75954  # block 80102763
0xfc517dec7b782d9095c711020249c82b25acf98db0130071cbb336e9a5e0735f  # block 80103215
0xd1f58c907e38397d3ad0c9dd09d28fdb015ea7f38ef5d7794b645a4975a745d7  # block 80103618
0x0fdceafec805a8daf0279e01fe1cf022467d97b4eba67472ac0612e70ce52c76  # block 80104501
0x5897af9d29ad338c25b798a376eb4814fb8bdc024d2d88ec292d77db6cbf722e  # block 80104770
0xab0115524658c88bd03dcb89a44fafb8bb78bef534cb1c0463b57a1f71c10315  # block 80104839
0x8b057760c01422a97128fff838de273d8d86a55ce4d0f0298e5b06c1d0bd2868  # block 80104849
0x2f3b99d35e2524333e38bf4d5f7b7429604d1f7f52bd4360f545b9d11e5fe361  # block 80104944
0x8d8dd55cfe65f750cbbd798d444feedaded4c4015dee53fbbb980ce166606ab1  # block 80105037
0x6e24a6b2977326e1fb67912f8ff29a228f0aeca76029e11327dc1241dcc39664  # block 80105246
0x1103aaa2f7dcf6d66fe1ac96cb9abc58431020c9ce6a10b62a2ed54926f7ca58  # block 80105249
0xa9145073dfd1ced86a5face5e6cefdcaf4fdf719ff4a33330d3f21b38570f53f  # block 80105325
0x7025824d44b3d60ef9fcbe3b6229b22e1f21422ad3b4892036c8f3a4f7d07144  # block 80105404
0x0785555eff04ab1f8a3350989068a861012afb36f1a4854713a7dbb9d395ea1d  # block 80105562
0xaf6c12b893bc51af82c3087a6d704d66ef15e2e558a756d791ba652c17c40dbc  # block 80105723
0x170e5791ca921a81e782536b5c645cddd49c39d71645f99246c3f3f06c87a903  # block 80105908
0x5ed42702aceabdb33c819670064b9832a559fd9878cc81202b909e3b4cd6e659  # block 80105976
0xd3cfef69b597a2144b29380929d61cee3cfe1b60a16f83cd83be752f7d555baf  # block 80106043
0x3d7f0c1333d70471ba9b8ff3d72b338f020836d26e4a5ca0b5f1f9ad84e22755  # block 80106197
0x531ef8634d6d38c4b8fed83fb014c8845e3efa757b7d66d3b933d36d45c5321c  # block 80106216
0x187d2ded3cab38572c5c7f373d0641a3e1945f5298289c35abdca38b615bb185  # block 80106400
0xa79de03b3621f667716093ee61324daffb1ddd1d64dec99c0ae1842ddfa17a3e  # block 80106564
0x924199413dcb211487db44f5b1681d42bc74a24afad30739f19be0d83919959b  # block 80106960
0xa2c831e158abc56ff58811ae40910ca4bc3845df5e900bf9d3147ab8085e4ee6  # block 80107960
0xf579dd3cc24165c65d117c9b064a15373d3b323e4b983f7a99643127d484e983  # block 80108015
0x4c6d9bcaf53011ab114734b05ccade0099197f2580e71114ff905bb01d09a295  # block 80108082
0x0aac9e8bd012540c949dc4028387bfdd3858c1402587f4b03e097f07345728f8  # block 80108127
0x637027de0d3dd4eb057c57e1c6b4b2b8693cefc3a47cb850522028ea2fb34576  # block 80108253
0xd204cb641312d6dd9ade6d51591b0d242a35e79660cc9fa45c8acd63f7a2b964  # block 80108263
0x1f84c56947f5d4e8d12096ea6c4622f368405b87f96f0924d8775453cea4bbff  # block 80108339
0x1eee705ea259ff8570746b892050eeca273369257db598d2e21187fa8b54d2c5  # block 80108446
0x60356b9620b822a950bf66a446d7f02945f50917c03b9ca58401fc87d8787c88  # block 80108477
0xb4d97b7314892ca5d6a02864293533c652f3374534bff7c4ad2082b7ae883786  # block 80108774
0x32ba3f1f930f47cd07871f4b4848f172a07a40d59e863c805348624245ae9283  # block 80108790
0x5bd534f890026a7e42ebbad08e1e547f18469b36249cf4a9a8047b4d51fb002e  # block 80108803
0xdbb4c24ff12fe8b074693d5a0c846bed22e72f7597681a3b2825217bb0a9cf2b  # block 80108847
0xca8ea5e34db3ed6af961a34b721d000b8f293017509d8e0064b85fc33453c868  # block 80108848
0x75b55fd259412dbf473f90419696bb639b514596776a3c8076a9b484d4ccec13  # block 80108899
0x89b3cb8361f58061bad2dbb09757337f905028c13bb1ac29ffe2c19c167a5cb2  # block 80108925
0xa8e8d58533114ae698dbe61e6539088c3ef6358e172343a4a5c2d08cff6fccfc  # block 80109029
0x188118a7d99604a9ac18d2272295ee16255f496893f09ae00b1b09e61a74ab7b  # block 80109054
0x447a7f6aca1d7593abec732829422fb0ab3bce338f6b628945cb0f02f6f7cc2c  # block 80109190
0xb7abbcde1a100812a7adf501cc348ecc51856bcc7ea365a2447fcd3d765bb09c  # block 80109281
0x02de783446aa6a4591dfe667c38b114c548cba1cc0ccc630b05457c452a6784f  # block 80109358
0x48418ba959efe7eb09b30aa1a897fe8e15c245a71a91d3d7383bdb342e078654  # block 80109424
0x7a1536e05056ba2fbdcd4ddbfe6e7fd8183152053dedf61559311d18915fb574  # block 80109427
0x6cd85da912558efa82a74fcebc9a045df51eea0a91ef4425002ef224c8a82c36  # block 80109457
0xe6bea8c5df3fb502caf956da78a1eeb54e0d71bf4bee761a65a3d82dacdb2383  # block 80110196
0xfb9343411a177cb7b45167b729213a136c3de33a8cbac41a54a61b5cb23ddbee  # block 80110229
0xbda443713c853c40332551427851d23e692d01895be853ad9ae490ef552baf35  # block 80110303
0xd43c6d6585d8a18c9a4fbf2f6acadb2d9eef17566e7da84da4c3183235c5cc51  # block 80110743
0x9d34b2efd51c39c01761e7370079d46e46f6d1d7cdbc2a018b1b2b0507af5e8e  # block 80110919
0x1dc6578e0c592958fa642c788fe88378d435f1af72daa930b9813c4528a40a3d  # block 80111020
0xd65790993d77de00362c5405f41b20ee3e1f1371391a340594adcff9b909221d  # block 80111066
0x0ae2047320781eab76f65ceaf1f9c62bc3faaed46ca000828f04ae4cecfe7c1e  # block 80111088
0x62697cb1c0677b938a94f92e02636ca3a1e166ac9a4203fbbf4b5dee12ea07f9  # block 80111154
0x5d5b59e91fb7e987be52cd61b0b391f547ca62d18714c971fdffd781a0bd9107  # block 80111302
0x7adddb66a5c4000cd7ef7bdcd071063a7b9b5303de7c440bbcc05b93170aff72  # block 80111391
0x3ac493a3b074ea84998c9d30c09f893675b2e43b06705d25022e2a630b602a73  # block 80111907
0x7f992be741d1a0c14ee8cf5e479395682dcb7be473706cb44946dac22c496e27  # block 80112059
0xa8ce15886c64cf7f40aeba2f5cc26b32cbe2b5c48d69e269ac91355f657691bc  # block 80112402
0x5f93669ee4070c32790c1f2a37354acdf999857ead0f37e7037ed16dbbb4ca24  # block 80112463
0x6ead297ab56be27d0e3466220435fb4c905872daf827ee92100f85bd47a98d3a  # block 80112642
0x651bbc5cd744833a030c1a2b60ba442aca17597fc33b4fb53c3ddf0a2413a261  # block 80112698
0x1f02a7384f377c7d8ea3099f01322ce096eb3cdb492ec6854226f2fa406f44a0  # block 80112784
0x94353919e944c8d2f71e5e3c770878eec9dcb050cdacbc9c0f2003ba316d361e  # block 80112871
